variant,learning_rate,epoch,global_step,validation_ce,accuracy,macro_f1,weighted_f1,balanced_accuracy,top_2_accuracy,predicted_10,predicted_20,predicted_40,predicted_80,predicted_160,selected_global
lr5e-6,5e-06,1,71,1.4160810518058347,0.30844155844155846,0.19524927027126598,0.29896932960463235,0.2272939545327509,0.6017316017316018,0,14,456,221,233,False
lr5e-6,5e-06,2,142,1.4814272373269646,0.2619047619047619,0.15051563951039187,0.1790667704247578,0.21846274532313537,0.538961038961039,0,14,162,723,25,False
lr5e-6,5e-06,3,213,1.4225975060875797,0.2857142857142857,0.18413217050572556,0.2729541950135127,0.22010663326561558,0.5714285714285714,0,4,450,309,161,False
lr5e-6,5e-06,4,284,1.3759860497016412,0.3484848484848485,0.22777929657889012,0.3473258648868964,0.24232226137689133,0.6190476190476191,0,15,275,366,268,True
lr5e-6,5e-06,5,355,1.3720230444685204,0.3484848484848485,0.22559313887729796,0.3484691654624007,0.23795324604507093,0.6309523809523809,0,14,289,328,293,False
lr1e-5,1e-05,1,71,1.3604521274050594,0.39285714285714285,0.17892937509863063,0.3207834319072489,0.22323678939912955,0.6298701298701299,0,208,37,36,643,False
lr1e-5,1e-05,2,142,1.3957898890301264,0.29978354978354976,0.16337588291006747,0.24666410097710725,0.21723795242263538,0.6515151515151515,0,13,42,753,116,False
lr1e-5,1e-05,3,213,1.3921086592075629,0.33874458874458874,0.2121913036477682,0.33449363556478245,0.23582110347834226,0.6341991341991342,0,4,370,280,270,False
lr1e-5,1e-05,4,284,1.458046925016296,0.3235930735930736,0.21540884371375907,0.32864368966292395,0.22681571407388273,0.6038961038961039,3,47,286,321,267,False
lr1e-5,1e-05,5,355,1.4509322921951096,0.32792207792207795,0.21263800582609677,0.33163386759668284,0.22428790776717938,0.6071428571428571,2,40,300,292,290,False
lr2e-5,2e-05,1,71,1.3393364873799412,0.4090909090909091,0.1672499143468602,0.3096967677990664,0.22668312119429257,0.6536796536796536,0,196,9,17,702,False
lr2e-5,2e-05,2,142,1.355628962124581,0.32575757575757575,0.1728867102330036,0.2910400848572852,0.21147432020866092,0.7023809523809523,0,4,23,656,241,False
lr2e-5,2e-05,3,213,1.5105030201214216,0.3463203463203463,0.21680431699734548,0.3387164676151271,0.24251581390803914,0.5909090909090909,1,6,382,251,284,False
lr2e-5,2e-05,4,284,2.136673576388008,0.31277056277056275,0.2232188383733722,0.3222002147927793,0.23209435113606625,0.5584415584415584,10,92,238,334,250,False
lr2e-5,2e-05,5,355,2.2110366181377725,0.3170995670995671,0.2252323080025679,0.3281524813999655,0.23285430021449655,0.5562770562770563,12,88,254,309,261,False
