feature,gain,split_count
qwen_hidden_0312,35.82154083251953,1.0
qwen_hidden_0565,35.68512725830078,15.0
qwen_hidden_1015,35.6430778503418,3.0
qwen_hidden_0568,34.36560821533203,16.0
qwen_hidden_0981,32.93359375,16.0
qwen_hidden_0124,32.857574462890625,2.0
qwen_hidden_0410,32.79018020629883,12.0
qwen_hidden_0109,32.63646697998047,3.0
qwen_hidden_0951,31.950469970703125,1.0
qwen_hidden_0490,31.40852928161621,7.0
qwen_hidden_0007,31.138710021972656,6.0
qwen_hidden_0904,30.56291961669922,3.0
qwen_hidden_1004,28.473953247070312,1.0
qwen_hidden_0655,27.125715255737305,1.0
qwen_hidden_0743,26.242895126342773,11.0
qwen_hidden_0023,26.135303497314453,1.0
qwen_hidden_0339,25.313438415527344,2.0
tree__edge_40_to_20_sibling_abs_gap_q10,25.177316665649414,6.0
qwen_hidden_0700,25.128156661987305,35.0
qwen_hidden_0586,25.005855560302734,4.0
tree__level_20_margin_top1_top2,24.528226852416992,4.0
qwen_hidden_0483,24.47992706298828,2.0
qwen_hidden_0065,24.416759490966797,1.0
qwen_hidden_0998,23.79192543029785,19.0
qwen_hidden_0605,23.692028045654297,1.0
qwen_hidden_0780,23.586240768432617,9.0
qwen_hidden_0279,23.471708297729492,1.0
qwen_hidden_0993,23.04775619506836,16.0
qwen_hidden_0594,23.002243041992188,12.0
qwen_hidden_0500,22.876728057861328,2.0
qwen_hidden_0156,22.601295471191406,9.0
qwen_hidden_0906,21.975311279296875,4.0
qwen_hidden_0459,21.657363891601562,7.0
qwen_hidden_0988,21.59583282470703,1.0
qwen_hidden_0730,21.394916534423828,1.0
qwen_hidden_0540,21.369115829467773,6.0
qwen_hidden_0868,21.20856475830078,1.0
qwen_hidden_0727,21.0333309173584,3.0
tree__level_10_top10_mean,20.857576370239258,3.0
qwen_hidden_0504,20.83013153076172,6.0
qwen_hidden_0856,20.724552154541016,4.0
qwen_hidden_0417,20.643917083740234,1.0
qwen_hidden_0011,20.574932098388672,3.0
qwen_hidden_0849,20.462533950805664,1.0
tree__edge_40_to_20_sibling_abs_gap_mean,20.37451934814453,1.0
qwen_hidden_0932,20.274147033691406,1.0
qwen_hidden_0825,19.99341583251953,17.0
qwen_hidden_0923,19.924087524414062,2.0
