feature,gain,split_count
qwen_logit_10,20.408777236938477,83.0
qwen_logit_160,15.846294403076172,214.0
tree__level_160_top5_mean,15.84423828125,1.0
qwen_logit_20,15.606019973754883,140.0
tree__level_20_q75,14.897031784057617,1.0
qwen_logit_80,14.693744659423828,233.0
qwen_logit_40,12.477025032043457,199.0
tree__level_10_top10_mean,12.47052001953125,3.0
tree__level_10_q95,11.103261947631836,17.0
tree__edge_160_to_80_sibling_abs_gap_mean,10.860968589782715,8.0
tree__edge_80_to_40_child_mean_minus_parent_q90,10.302124977111816,29.0
tree__edge_40_to_20_sibling_abs_gap_q10,10.238873481750488,23.0
tree__edge_40_to_20_child_mean_minus_parent_max,9.795994758605957,20.0
tree__level_20_top10_mean,9.790310859680176,3.0
tree__level_80_q95,9.068875312805176,1.0
tree__level_20_near_max_002_fraction,9.013071060180664,37.0
tree__level_80_mean,8.843341827392578,1.0
tree__level_20_top2_mean,8.827943801879883,5.0
tree__level_160_q75,8.806784629821777,6.0
tree__edge_80_to_40_child_max_minus_parent_q90,8.795448303222656,21.0
tree__edge_40_to_20_near_equal_005_fraction,8.597694396972656,3.0
tree__edge_80_to_40_near_equal_002_fraction,8.52890682220459,27.0
tree__level_80_top2_mean,8.466368675231934,1.0
tree__level_160_softmax_effective_fraction_t005,8.288298606872559,6.0
tree__level_20_top5_mean,8.209949493408203,3.0
tree__edge_40_to_20_child_max_minus_parent_std,8.102334976196289,23.0
tree__level_40_top10_mean,8.069061279296875,5.0
tree__level_20_max,7.996128082275391,2.0
tree__edge_80_to_40_child_mean_minus_parent_max,7.931764125823975,56.0
tree__level_10_q75,7.914328098297119,5.0
tree__level_80_std,7.914251804351807,5.0
tree__edge_80_to_40_sibling_abs_gap_mean,7.879876613616943,5.0
tree__level_40_q95,7.702506065368652,4.0
tree__edge_160_to_80_near_equal_002_fraction,7.684159755706787,32.0
tree__edge_20_to_10_parent_child_max_correlation,7.616873264312744,7.0
tree__edge_160_to_80_child_mean_minus_parent_mean,7.605924606323242,27.0
tree__edge_20_to_10_child_max_minus_parent_q10,7.460550785064697,13.0
