feature,gain,split_count
tree__level_10_top10_mean,16.617517471313477,9.0
tree__level_20_max,13.260936737060547,6.0
tree__level_40_top5_mean,13.001216888427734,3.0
tree__edge_40_to_20_sibling_abs_gap_mean,12.838014602661133,4.0
tree__level_40_max,11.793493270874023,10.0
tree__edge_160_to_80_sibling_abs_gap_mean,11.658843994140625,9.0
tree__level_160_q75,11.239368438720703,3.0
tree__level_10_q95,11.140430450439453,21.0
tree__level_40_top10_mean,10.82114028930664,2.0
tree__level_20_max_mean_gap,10.588460922241211,6.0
tree__edge_20_to_10_child_mean_minus_parent_mean,10.078761100769043,2.0
tree__edge_80_to_40_near_equal_002_fraction,10.046509742736816,43.0
tree__edge_80_to_40_argmax_alignment,10.034486770629883,8.0
tree__edge_80_to_40_child_mean_minus_parent_q90,9.925249099731445,30.0
tree__edge_40_to_20_child_max_minus_parent_q10,9.59103775024414,11.0
tree__level_10_near_max_002_fraction,9.479069709777832,21.0
qwen_logit_160,9.320046424865723,71.0
tree__edge_20_to_10_parent_child_max_correlation,9.206317901611328,8.0
tree__level_20_top2_mean,9.171735763549805,14.0
tree__level_10_top2_mean,9.029518127441406,18.0
tree__edge_80_to_40_sibling_abs_gap_q50,8.912908554077148,20.0
qwen_logit_10,8.912789344787598,50.0
tree__level_20_margin_top1_top2,8.891738891601562,36.0
tree__edge_80_to_40_child_max_minus_parent_std,8.80964469909668,25.0
tree__edge_160_to_80_child_mean_minus_parent_q10,8.726192474365234,13.0
tree__level_20_q95,8.722225189208984,4.0
tree__level_20_near_max_002_fraction,8.46702766418457,54.0
tree__edge_40_to_20_sibling_abs_gap_q10,8.316903114318848,40.0
tree__level_80_q95,8.201946258544922,2.0
tree__level_20_log_count,8.194962501525879,4.0
tree__level_20_near_max_005_fraction,8.061156272888184,17.0
tree__level_160_top2_mean,8.019549369812012,2.0
tree__level_20_softmax_effective_fraction_t005,7.9080986976623535,32.0
tree__edge_40_to_20_near_equal_002_fraction,7.70999813079834,20.0
tree__edge_20_to_10_sibling_abs_gap_std,7.687372207641602,12.0
tree__level_20_q90,7.6756181716918945,11.0
tree__edge_160_to_80_argmax_alignment,7.651241779327393,1.0
tree__edge_160_to_80_sibling_abs_gap_max,7.596609592437744,22.0
tree__level_10_log_count,7.549808502197266,17.0
tree__edge_80_to_40_sibling_abs_gap_max,7.498318195343018,38.0
tree__edge_80_to_40_child_max_minus_parent_q90,7.486474514007568,14.0
tree__edge_80_to_40_sibling_abs_gap_std,7.401810169219971,13.0
tree__level_40_std,7.258537292480469,9.0
tree__edge_160_to_80_near_equal_002_fraction,7.240416526794434,57.0
tree__edge_80_to_40_sibling_abs_gap_q90,7.234879493713379,20.0
tree__edge_20_to_10_sibling_abs_gap_max,7.2323174476623535,26.0
tree__edge_160_to_80_child_mean_minus_parent_q50,7.221927642822266,17.0
tree__level_40_q50,7.212148666381836,3.0
tree__edge_80_to_40_near_equal_005_fraction,7.2031474113464355,12.0
tree__level_160_near_max_005_fraction,7.189713954925537,37.0
tree__edge_20_to_10_child_max_minus_parent_max,7.179603099822998,43.0
tree__level_10_mean,7.178971290588379,18.0
tree__edge_20_to_10_child_mean_minus_parent_q10,7.150444507598877,7.0
