feature,gain,split_count
level_10_q95,11.525236129760742,53.0
level_40_max,10.170207023620605,22.0
level_40_top5_mean,9.910985946655273,10.0
level_20_max,9.725849151611328,21.0
level_40_top10_mean,8.96098804473877,7.0
level_10_top10_mean,8.873973846435547,46.0
level_160_top5_mean,8.701898574829102,5.0
level_160_q75,8.43248462677002,28.0
level_160_q50,8.426231384277344,32.0
level_10_top2_mean,8.292428970336914,51.0
level_20_softmax_effective_fraction_t005,8.218927383422852,46.0
level_80_q95,7.948397159576416,18.0
level_80_q50,7.942121505737305,11.0
level_10_max,7.814578533172607,27.0
level_20_max_mean_gap,7.447214126586914,38.0
level_20_near_max_002_fraction,7.3716864585876465,127.0
level_160_top2_mean,7.232815742492676,10.0
level_40_softmax_effective_fraction_t005,7.201746940612793,34.0
level_40_q95,7.124864101409912,24.0
level_20_margin_top1_top2,7.060710906982422,97.0
level_160_max,6.963358402252197,6.0
level_80_softmax_entropy_norm_t005,6.953356742858887,66.0
level_20_top2_mean,6.915010929107666,41.0
level_80_log_count,6.892415523529053,2.0
level_20_q95,6.875381946563721,15.0
level_10_mean,6.856332302093506,48.0
level_80_top10_mean,6.829690933227539,3.0
level_10_log_count,6.7110724449157715,42.0
level_10_near_max_002_fraction,6.706655025482178,56.0
level_10_max_mean_gap,6.696115016937256,27.0
level_20_q75,6.574222564697266,4.0
level_160_near_max_005_fraction,6.543787479400635,78.0
level_20_near_max_005_fraction,6.4710564613342285,64.0
level_40_q50,6.387438774108887,25.0
level_80_near_max_002_fraction,6.375067234039307,89.0
level_10_margin_top1_top2,6.297423362731934,80.0
level_10_q75,6.29631233215332,22.0
level_160_margin_top1_top2,6.283041000366211,58.0
level_40_max_mean_gap,6.225184440612793,40.0
level_80_top5_mean,6.161219596862793,7.0
level_160_top10_mean,5.984665393829346,17.0
level_20_q90,5.926041126251221,42.0
level_80_q90,5.841953277587891,9.0
level_20_softmax_entropy_norm_t005,5.818197250366211,36.0
level_20_mean,5.803594589233398,13.0
level_10_near_max_005_fraction,5.790073394775391,61.0
level_80_margin_top1_top2,5.780447006225586,65.0
level_20_q50,5.751901626586914,51.0
level_20_top5_mean,5.685967922210693,15.0
level_10_q90,5.683377265930176,33.0
level_20_top10_mean,5.674776077270508,6.0
level_40_near_max_002_fraction,5.672598838806152,38.0
level_80_mean,5.65859317779541,14.0
level_40_std,5.65495491027832,36.0
level_160_std,5.546091079711914,45.0
level_40_mean,5.53010892868042,18.0
level_160_log_count,5.507105350494385,9.0
level_20_std,5.499946594238281,35.0
level_160_q95,5.499094009399414,30.0
level_20_log_count,5.4476423263549805,8.0
level_40_near_max_005_fraction,5.421442031860352,62.0
level_40_log_count,5.4162068367004395,15.0
level_160_q90,5.411197185516357,11.0
level_80_std,5.377396106719971,30.0
level_10_softmax_entropy_norm_t005,5.356926918029785,53.0
level_10_std,5.323604106903076,49.0
level_10_softmax_effective_fraction_t005,5.302662372589111,46.0
level_40_q90,5.279555797576904,10.0
level_40_top2_mean,5.207461357116699,29.0
level_40_margin_top1_top2,5.183144569396973,91.0
level_40_softmax_entropy_norm_t005,5.180346965789795,37.0
level_10_q50,5.175968170166016,71.0
level_160_softmax_effective_fraction_t005,5.081542491912842,22.0
level_10_top5_mean,4.996657371520996,32.0
level_160_mean,4.98453426361084,19.0
level_160_max_mean_gap,4.952952861785889,17.0
level_80_softmax_effective_fraction_t005,4.8158369064331055,50.0
level_80_q75,4.743651866912842,14.0
level_80_max_mean_gap,4.669731616973877,26.0
level_80_near_max_005_fraction,4.531225681304932,65.0
level_160_near_max_002_fraction,4.4775071144104,35.0
level_80_top2_mean,4.361500263214111,18.0
level_80_max,4.1840057373046875,16.0
level_40_q75,4.046785831451416,8.0
level_160_softmax_entropy_norm_t005,3.949032783508301,15.0
