feature,gain,split_count
level_40_top5_mean,16.89410972595215,2.0
level_20_max,12.717082023620605,7.0
level_160_q75,12.466270446777344,8.0
level_40_top10_mean,12.132919311523438,1.0
level_20_top10_mean,11.983185768127441,3.0
level_10_q95,11.642765998840332,27.0
level_10_top2_mean,11.288436889648438,16.0
level_20_log_count,11.139534950256348,2.0
level_40_q95,10.682289123535156,4.0
level_40_max,10.446990966796875,8.0
edge_40_to_20_sibling_abs_gap_mean,10.176565170288086,10.0
level_10_top10_mean,9.923867225646973,19.0
edge_80_to_40_near_equal_002_fraction,9.566122055053711,47.0
edge_20_to_10_parent_child_max_correlation,9.184835433959961,9.0
edge_80_to_40_child_mean_minus_parent_q90,8.91421890258789,38.0
edge_40_to_20_sibling_abs_gap_q10,8.820894241333008,40.0
edge_160_to_80_child_mean_minus_parent_q10,8.76404857635498,10.0
edge_20_to_10_child_mean_minus_parent_mean,8.724462509155273,9.0
edge_40_to_20_child_max_minus_parent_q10,8.712562561035156,12.0
edge_160_to_80_sibling_abs_gap_mean,8.668197631835938,7.0
level_20_max_mean_gap,8.358307838439941,13.0
edge_80_to_40_argmax_alignment,8.318456649780273,10.0
level_20_near_max_002_fraction,8.283642768859863,58.0
level_20_softmax_effective_fraction_t005,8.186603546142578,37.0
edge_80_to_40_sibling_abs_gap_std,8.16081428527832,16.0
edge_20_to_10_sibling_abs_gap_std,8.144540786743164,13.0
edge_80_to_40_sibling_abs_gap_q50,8.121576309204102,26.0
level_80_mean,7.935596466064453,5.0
edge_40_to_20_child_mean_minus_parent_q50,7.9092888832092285,9.0
level_10_near_max_002_fraction,7.858871936798096,26.0
level_20_margin_top1_top2,7.692814350128174,49.0
level_20_near_max_005_fraction,7.595160961151123,28.0
level_10_log_count,7.593165397644043,15.0
level_80_near_max_002_fraction,7.566529750823975,37.0
level_20_top2_mean,7.529219627380371,16.0
edge_80_to_40_sibling_abs_gap_max,7.5267181396484375,38.0
edge_80_to_40_child_max_minus_parent_std,7.518545150756836,29.0
edge_160_to_80_child_mean_minus_parent_q50,7.485700607299805,23.0
edge_20_to_10_child_max_minus_parent_std,7.369873046875,21.0
level_40_softmax_effective_fraction_t005,7.343217849731445,23.0
level_80_q90,7.334485054016113,4.0
edge_160_to_80_near_equal_005_fraction,7.3273162841796875,29.0
level_10_max_mean_gap,7.186115741729736,9.0
level_160_near_max_005_fraction,7.17437744140625,42.0
level_20_top5_mean,7.159327507019043,4.0
edge_20_to_10_sibling_abs_gap_q50,7.140541076660156,7.0
