split,granularity_tokens,count,percentage,availability
train,10,460,20.489978,available
train,20,675,30.066815,available
train,40,686,30.556793,available
train,80,343,15.278396,available
train,160,81,3.608018,available
validation,10,137,14.82684,available
validation,20,235,25.4329,available
validation,40,283,30.627706,available
validation,80,187,20.238095,available
validation,160,82,8.874459,available
test,10,,,unavailable_no_oracle_records
test,20,,,unavailable_no_oracle_records
test,40,,,unavailable_no_oracle_records
test,80,,,unavailable_no_oracle_records
test,160,,,unavailable_no_oracle_records
available_combined,10,597,18.83875,available
available_combined,20,910,28.715683,available
available_combined,40,969,30.577469,available
available_combined,80,530,16.724519,available
available_combined,160,163,5.143578,available
all_official_splits,10,,,unavailable_no_oracle_records
all_official_splits,20,,,unavailable_no_oracle_records
all_official_splits,40,,,unavailable_no_oracle_records
all_official_splits,80,,,unavailable_no_oracle_records
all_official_splits,160,,,unavailable_no_oracle_records
